probe_id,log2FoldChange,AveExpr,t,P.Value,padj,B
230391_at,-0.6144842047834073,3.247699054288141,-6.592441505566974,1.0322190784909069e-10,7.313599859704422e-10,13.830838321576412
222891_s_at,0.9123669844846282,3.988392616775209,6.58307414726182,1.0942641295979895e-10,7.712402381831093e-10,13.824839167319716
212675_s_at,0.5751027391074937,4.457083511046718,6.6029930504287515,9.664557446465478e-11,6.893235947002974e-10,13.818630600227033
215193_x_at,-0.8253738266026464,7.313476307062863,-6.68892007335386,5.6361649527995836e-11,4.16702795992698e-10,13.806170826505955
205403_at,-0.9019913572264697,4.248056564092759,-6.636280166815583,7.847776876286762e-11,5.68831080349527e-10,13.79776135804969
213079_at,0.3295239562026716,4.958543410949897,6.633199450589087,8.000771308711389e-11,5.787458678610744e-10,13.795988355336974
224130_s_at,-0.3423565244667856,4.892014469436022,-6.64455799585287,7.450752803714825e-11,5.418867263149824e-10,13.773621752209959
204039_at,0.6647332805378964,5.522839341466276,6.641142871406034,7.612104664176438e-11,5.528710323208284e-10,13.768678229652318
209020_at,0.5038879483484954,5.115286067637119,6.629637857296067,8.181294268666181e-11,5.913010942236852e-10,13.76838686313365
201093_x_at,-0.34197081250091166,6.994554047145979,-6.668587352156694,6.406522241251409e-11,4.700895395241531e-10,13.764325014897787
226165_at,0.44211247612103644,6.925750091763941,6.659179583290182,6.797036085927154e-11,4.973814725993005e-10,13.762942028531864
211654_x_at,-0.8389907233904246,5.055238537892836,-6.648741069508071,7.257683002589776e-11,5.289221633111856e-10,13.75958274215808
214453_s_at,-0.90017998095507,3.1138159264299436,-6.58238402614143,1.0989770907981676e-10,7.740527004418652e-10,13.758510331907239
202087_s_at,-0.5938979809366682,5.670488229246533,-6.652554803980813,7.085940868919338e-11,5.174620622272179e-10,13.752503515128911
226810_at,-0.6608803514920459,3.6483438040570917,-6.594972077356304,1.0160581210330038e-10,7.218190086622394e-10,13.751423769446625
217773_s_at,0.2718650849930384,8.334604240313228,6.685661977104504,5.753185443755152e-11,4.2418359021988264e-10,13.747507027349341
223105_s_at,0.23534950826204065,8.029295277580724,6.677880349968931,6.04240529361333e-11,4.4428474887082774e-10,13.745843303088968
226335_at,0.5096983625706415,6.112912343846344,6.648347222826368,7.275649750378814e-11,5.298710793732714e-10,13.741872015110928
200087_s_at,-0.21556289059037367,8.139235396574412,-6.6868471711135555,5.710343831148611e-11,4.2160519271602395e-10,13.725664795980109
202870_s_at,-0.62531757481756,5.42468813561784,-6.646152762821966,7.376559447563597e-11,5.368551722944892e-10,13.724298156798856
208113_x_at,0.27919021118697307,9.020326937056671,6.704098021012972,5.121080289432982e-11,3.8125179388947553e-10,13.722366862095697
212237_at,0.4738159858472162,4.805113830237293,6.606875125265773,9.433090396272934e-11,6.746107971646992e-10,13.719507036677033
227230_s_at,-0.6897776840278609,3.6327880154214878,-6.5887055487435715,1.0565395551749586e-10,7.471094557484707e-10,13.711415302540392
216088_s_at,0.4824930183191173,5.703955013652341,6.637174261814396,7.803914025853258e-11,5.660347390586726e-10,13.698028931347253
215604_x_at,0.4014591862525699,4.811510690618328,6.600546219502928,9.813299904422169e-11,6.985374211034864e-10,13.658837284385262
213198_at,0.48699319901849,5.981002653670408,6.633826346076764,7.9694032766871985e-11,5.768663331293916e-10,13.65846710389119
201535_at,0.5233795989456621,5.395812653323203,6.620858648197708,8.643506432257652e-11,6.222976102740338e-10,13.648137682312212
