"Rank","Symbol","log2FoldChange_median","padj_best","probe_selected","n_probes","ProbeIDs"
259,"CALB1",2.67379175766324,2.86387761115482e-19,"205625_s_at",2,"205625_s_at;205626_s_at"
260,"DOCK8",-1.06345376066921,3.07105544642106e-19,"203560_at",1,"203560_at"
261,"LYZ",-1.07499971011616,5.41661270278512e-19,"235501_at",1,"235501_at"
262,"ICAM1",1.34684156284443,5.48175722324295e-19,"236203_at",1,"236203_at"
263,"GCG",-1.58161217953815,6.83075194848727e-19,"222257_s_at",1,"222257_s_at"
264,"FTX",-1.19298657858704,1.19906720790699e-18,"235412_at",1,"235412_at"
265,"AMFR",-1.75588946880233,1.44967301156613e-18,"204364_s_at",1,"204364_s_at"
266,"PLAAT4",-1.72321919193711,1.90846721875893e-18,"227450_at",1,"227450_at"
267,"CCL18",-0.0856378314713749,2.6370732399333e-18,"222484_s_at",2,"222484_s_at;206569_at"
268,"HAVCR2",-1.04508711842777,2.6856856115101e-18,"235079_at",1,"235079_at"
269,"TRGC2",1.04085887277856,2.92959917871447e-18,"204890_s_at",1,"204890_s_at"
270,"PAH",1.42181550752054,4.23059894122253e-18,"205067_at",1,"205067_at"
271,"TRPM6",1.42365010899167,6.15441946026422e-18,"205488_at",1,"205488_at"
272,"RASL11A",-1.72729451548064,6.19040676183968e-18,"231426_at",1,"231426_at"
273,"PBX1",-1.16352747791904,7.25641845852275e-18,"1570482_at",1,"1570482_at"
274,"CPA6",-1.18087404894987,9.5770926248754e-18,"1559410_at",1,"1559410_at"
275,"CLDN8",1.91372319473299,1.03100449193506e-17,"205242_at",1,"205242_at"
276,"HLA-DPA1",0.126784320817865,1.26884508854183e-17,"220051_at",2,"220051_at;231941_s_at"
277,"TFAP2A-AS1",1.03529752504531,1.30426417188211e-17,"225502_at",1,"225502_at"
278,"GUCA2A",-1.65227797269019,1.42042752386232e-17,"219962_at",1,"219962_at"
279,"SERINC3",1.10355312849208,1.55022034801328e-17,"1555759_a_at",2,"1555759_a_at;226661_at"
280,"RAPGEF6",1.38292480228405,1.57325571886306e-17,"209598_at",2,"209598_at;242787_at"
281,"IL24",1.31936952490078,1.59397149791532e-17,"213537_at",1,"213537_at"
282,"CXCL13",-1.96237388771081,2.19324519522278e-17,"202410_x_at",1,"202410_x_at"
283,"REG1B",1.47677879920211,2.51221316836805e-17,"205681_at",1,"205681_at"
284,"SPP1",-1.28783875359437,4.95104116381676e-17,"228915_at",1,"228915_at"
285,"DEFA6",-2.30301562687441,5.2206368404735e-17,"207814_at",1,"207814_at"
286,"GNLY",-1.76556540721438,6.12999882968023e-17,"210881_s_at",2,"210881_s_at;243495_s_at"
287,"ACSL6",-1.19890631955762,6.46777245751027e-17,"243669_s_at",1,"243669_s_at"
288,"RNF19B",-1.15507519344871,9.52328557091144e-17,"244353_s_at",2,"244353_s_at;241509_at"
289,"SAMD9L",0.0249398024604,9.84894790558198e-17,"226545_at",2,"226545_at;241547_at"
290,"PCSK1",1.74376685025877,1.17578018662062e-16,"205220_at",1,"205220_at"
291,"DSC3",-1.09100174839817,1.19799267968745e-16,"229376_at",2,"229376_at;230270_at"
292,"DOCK5",1.18467570890536,1.22716648317777e-16,"205081_at",1,"205081_at"
293,"ZIC2",-1.0301670033113,1.28865346268045e-16,"229441_at",1,"229441_at"
294,"FRZB",-1.23510850080643,1.74458983655912e-16,"228656_at",2,"228656_at;244290_at"
295,"CYB5D1",1.02301910364023,2.31060058810374e-16,"231577_s_at",1,"231577_s_at"
296,"ABAT",-1.07316950906548,4.85587340132551e-16,"231250_at",2,"231250_at;209424_s_at"
297,"SLC28A3",1.07896121147743,5.57973776726002e-16,"205483_s_at",1,"205483_s_at"
298,"RNF182",1.28274732675848,6.40204131459769e-16,"219434_at",1,"219434_at"
299,"ROBO2",-1.16263371267731,7.27216477436607e-16,"208937_s_at",1,"208937_s_at"
300,"SATB1",-1.03695004818582,8.91227731456587e-16,"238632_at",1,"238632_at"
301,"MMP7",-1.07649741245042,1.14484663806438e-15,"211419_s_at",1,"211419_s_at"
302,"CREB3L1",-1.16410143662415,1.42929681502481e-15,"238127_at",1,"238127_at"
303,"ZBTB20",-1.22693492267816,1.50608312617469e-15,"203697_at",1,"203697_at"
304,"SPINK1",1.18510263434508,1.53465071553248e-15,"201641_at",1,"201641_at"
305,"NUTF2P4",-1.25186276635398,1.71589308926637e-15,"205174_s_at",1,"205174_s_at"
306,"KMT5A",-1.05615183601121,2.38955640673296e-15,"228649_at",1,"228649_at"
307,"PIK3AP1",-1.15549141200389,2.49291394208919e-15,"220736_at",1,"220736_at"
308,"CAPN6",-1.52025122197451,2.68430473544925e-15,"204042_at",1,"204042_at"
309,"FOXD1",1.17945568396806,3.57253882122834e-15,"1554899_s_at",1,"1554899_s_at"
310,"BCL2A1",-1.49626379019787,5.72369230549076e-15,"203423_at",1,"203423_at"
311,"PCMTD1",1.2978063560847,5.72957022368828e-15,"223949_at",1,"223949_at"
312,"MTA2",-1.40050034253588,5.85000747646986e-15,"219718_at",1,"219718_at"
313,"PLLP",-1.26273844315078,6.58347068472526e-15,"227510_x_at",1,"227510_x_at"
314,"ATXN7",-1.10455452619689,6.63665099585703e-15,"205472_s_at",1,"205472_s_at"
315,"RBP1",1.52209203049181,6.94394877357306e-15,"203915_at",1,"203915_at"
316,"SBNO1",1.02444890541494,7.48437097396243e-15,"201926_s_at",1,"201926_s_at"
317,"ARID3A",1.09242434754539,7.673253519951e-15,"214511_x_at",1,"214511_x_at"
318,"NKD1",0.126385425598245,8.55410845873375e-15,"242625_at",2,"242625_at;227826_s_at"
319,"SETSIP",1.26053312246707,1.00926776485691e-14,"217388_s_at",1,"217388_s_at"
320,"SLC4A11",1.05933187330946,1.05445106388826e-14,"201564_s_at",1,"201564_s_at"
321,"NCF2",-1.08313281931792,1.09182656054873e-14,"1554679_a_at",1,"1554679_a_at"
322,"PLCB4",-2.01371781032735,1.35924927394744e-14,"1553970_s_at",2,"1553970_s_at;209616_s_at"
323,"PMEPA1",0.11327004037284,1.48672014381835e-14,"202859_x_at",2,"202859_x_at;242736_at"
324,"IDO1",-2.06376712498074,2.77631129090487e-14,"205910_s_at",1,"205910_s_at"
325,"CXCL11",-1.71726486014665,2.83397767643413e-14,"201496_x_at",2,"201496_x_at;205825_at"
326,"ZNF704",1.07161958270371,3.01035117311006e-14,"211991_s_at",1,"211991_s_at"
327,"CCAR2",-1.19860666605158,3.03361108437178e-14,"222938_x_at",1,"222938_x_at"
328,"GPALPP1",-1.0259047844064,3.74031308839962e-14,"230333_at",1,"230333_at"
329,"TFF2",-1.60660176436532,5.84895076938859e-14,"228133_s_at",1,"228133_s_at"
330,"PRSS23",1.05780627223252,6.15293502450522e-14,"209949_at",1,"209949_at"
331,"SLC51B",1.06425795076404,6.67866006593245e-14,"217028_at",1,"217028_at"
332,"PROK2",1.51420272871845,8.08290076056689e-14,"214079_at",1,"214079_at"
333,"IGF1R",1.16319188847924,8.3600276584225e-14,"1559827_at",1,"1559827_at"
334,"FBXO21",1.06686450100417,1.17913022128353e-13,"219890_at",1,"219890_at"
335,"ACE2",0.028534583308535,1.23357901782668e-13,"204475_at",2,"204475_at;207003_at"
336,"CFTR",1.08908982131378,1.39193129490439e-13,"212998_x_at",2,"212998_x_at;1554018_at"
337,"NOX1",-0.05096290052493,1.39394044418595e-13,"208121_s_at",4,"208121_s_at;218346_s_at;228708_at;242037_at"
338,"BCAT1",1.03651261003681,1.41221898731283e-13,"206666_at",1,"206666_at"
339,"SLAMF8",1.20408370978938,1.47618635840218e-13,"204972_at",1,"204972_at"
340,"CD109",-1.49609289682932,2.43212652064424e-13,"202965_s_at",1,"202965_s_at"
341,"TNFAIP6",-0.07782629188808,3.02872204730877e-13,"201117_s_at",2,"201117_s_at;202581_at"
342,"C5AR1",-1.04054128080546,3.41754690065609e-13,"205043_at",1,"205043_at"
343,"ATP9A",0.0627420444101351,3.50412569316913e-13,"219410_at",2,"219410_at;223969_s_at"
344,"TXNDC9",1.19583351707384,3.86147110284545e-13,"202086_at",1,"202086_at"
345,"DACH1",-1.31354174054341,4.25546503759019e-13,"214598_at",3,"214598_at;206418_at;226766_at"
346,"CASP2",-1.25297770098493,4.27470456782625e-13,"211506_s_at",3,"211506_s_at;201116_s_at;209612_s_at"
347,"GBP2",1.07078819188926,4.28502323223047e-13,"212999_x_at",1,"212999_x_at"
348,"NOTUM",1.08153936703588,4.37114463001739e-13,"204580_at",1,"204580_at"
349,"PYY",-1.25846601157747,4.60230323554982e-13,"221031_s_at",1,"221031_s_at"
350,"TMEM150C",1.12075392752016,5.1524334229449e-13,"210889_s_at",1,"210889_s_at"
351,"PTPRO",-1.50772806008211,5.17929430414622e-13,"221795_at",1,"221795_at"
352,"SDR16C5",1.23377577480979,5.83941460476211e-13,"214453_s_at",1,"214453_s_at"
353,"CDC42",1.40166533798089,7.83857098879496e-13,"1554997_a_at",1,"1554997_a_at"
354,"WASF3",1.57957081045457,8.46427021427525e-13,"214476_at",1,"214476_at"
355,"E2F7",1.13645711130114,8.57557830636165e-13,"207847_s_at",1,"207847_s_at"
356,"NKG7",-1.26114294990284,9.97954163583751e-13,"230720_at",1,"230720_at"
